cmor_label,title,miptable,cf_std_name,description,cell_methods,dimension,units,positive,realm,priority,requesting_mips,UKESM_component,Owner,Variable_mapping,PP_constraint,Stream,Plan,Ticket,Comment (this goes into file metadata?),Notes (this doesn't)
drydms,Dry Deposition Rate of DMS,aero,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
emidms,Total Emission Rate of DMS,aero,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission,Integrate 3D emission field vertically to 2d field.,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
wetdms,Wet Deposition Rate of DMS,aero,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition,unset,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
drydust,Dry Deposition Rate of Dust,aero,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition.",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
emidust,Total Emission Rate of Dust,aero,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_emission,Integrate 3D emission field vertically to 2d field.,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
wetdust,Wet Deposition Rate of Dust,aero,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_wet_deposition,unset,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
dryoa,Dry Deposition Rate of Dry Aerosol Organic Matter,aero,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,"tendency of atmosphere mass content of organic dry aerosol due to dry deposition: This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). Mass refers to the mass of organic matter, not mass of organic carbon alone.",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
emioa,Rate of Emission and Production of Dry Aerosol Total Organic Matter,aero,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission,"Tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (emipoa+chepsoa). ''Mass'' refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called emi_pom in old ACCMIP Excel table. Integrate 3D emission field vertically to 2d field.'",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,1,,aerosol,,,,,,,,
wetoa,Wet Deposition Rate of Dry Aerosol Organic Matter,aero,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,"tendency of atmosphere mass content of organic matter dry aerosols due to wet deposition: This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). Mass refers to the mass of organic matter, not mass of organic carbon alone.",time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
drypoa,Dry Deposition Rate of Dry Aerosol Primary Organic Matter,aero,tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,unset,time: mean,longitude latitude time  ,kg m-2 s-1,None,aerosol,3,,aerosol,,,,,,,,
